wind_bin_lower,mean,count,std,turbine_id
0,0.00999015263417036,677,0.0001567090242637743,1
1,0.010534628601638901,2522,0.0023606407402320152,1
2,0.020405130611606415,2131,0.011614239760473427,1
3,0.04895944980350121,1866,0.02577108893782294,1
4,0.09689916666666663,2000,0.039175186480888025,1
5,0.1733022280092592,2304,0.05286159466135741,1
6,0.28979962384259256,2304,0.0652121293835896,1
7,0.4336231518817204,1984,0.0831194515955281,1
8,0.5833365529083494,1553,0.09927090483571414,1
9,0.7306773879142301,1368,0.11327416825094952,1
10,0.8629161399072904,1582,0.1159999539160612,1
11,0.9489132845420271,1503,0.08511468259867064,1
12,0.9623693966970003,989,0.12807685494222454,1
13,0.9720691949434465,501,0.10750854685525411,1
14,0.964862258953168,242,0.13531269163365373,1
15,0.9722344322344322,91,0.11863321932399064,1
16,0.9680434782608696,23,0.09918181979198995,1
17,0.9882407407407408,18,0.0035457892832554743,1
18,0.8863333333333333,5,0.09579636968301276,1
19,0.9888888888888889,3,0.0019245008972986687,1
20,0.99,1,,1
0,0.009938101788170563,727,0.0003498942129274852,2
1,0.009934252521383873,2611,0.002478716727970286,2
2,0.01917144959529062,2265,0.011681077637675718,2
3,0.04582669983416249,2010,0.025207903515463884,2
4,0.09258159062103925,2104,0.03886619853579988,2
5,0.16672067901234566,2376,0.05260276497112815,2
6,0.2784188034188034,2379,0.0653610209455752,2
7,0.4220137863121615,2031,0.07605325839879114,2
8,0.5731369426751592,1570,0.0803166666637674,2
9,0.7132988833452126,1403,0.11416869625327696,2
10,0.8558550540368722,1573,0.09729633352594248,2
11,0.9380935106811769,1654,0.0712602699216784,2
12,0.9601228878648234,1085,0.07263688815586632,2
13,0.965837727006444,569,0.05940120174054002,2
14,0.9613241106719368,253,0.07635196165550555,2
15,0.9444027777777778,120,0.1426736817029306,2
16,0.9727586206896552,29,0.0055146964916154865,2
17,0.9298039215686275,17,0.10955383372415653,2
18,0.9766666666666666,5,0.006236095644623259,2
19,0.9766666666666667,4,0.008164965809277313,2
